,col_name,col_dtype,num_of_nulls,num_of_non_nulls,num_of_distinct_values,distinct_values_counts
75,YEARS_BUILD_MEDI,float64,204488,103023,151,"{0.8256: 2994, 0.8189: 2883, 0.8054: 2842, 0.7316: 2799, 0.8121: 2784, 0.8323: 2740, 0.7383: 2739, 0.7987: 2700, 0.7518: 2687, 0.7719: 2686}"
76,COMMONAREA_MEDI,float64,214865,92646,3202,"{0.0: 8691, 0.0079: 581, 0.008: 486, 0.0078: 481, 0.0014: 377, 0.0086: 376, 0.0081: 337, 0.0071: 336, 0.0087: 309, 0.0012: 308}"
77,ELEVATORS_MEDI,float64,163891,143620,46,"{0.0: 87026, 0.08: 10832, 0.16: 9278, 0.24: 6392, 0.12: 5946, 0.04: 4852, 0.2: 4162, 0.32: 2937, 0.28: 2317, 0.4: 1604}"
78,ENTRANCES_MEDI,float64,154828,152683,46,"{0.1379: 35535, 0.069: 24193, 0.1034: 20492, 0.2069: 19750, 0.0345: 16150, 0.1724: 9566, 0.2759: 8048, 0.2414: 4318, 0.3448: 2108, 0.3103: 2086}"
79,FLOORSMAX_MEDI,float64,153020,154491,49,"{0.1667: 63607, 0.3333: 33279, 0.0417: 14832, 0.375: 8207, 0.125: 7079, 0.0833: 6657, 0.4583: 3089, 0.0: 2995, 0.625: 2042, 0.5417: 1860}"
80,FLOORSMIN_MEDI,float64,208642,98869,47,"{0.2083: 33737, 0.375: 18538, 0.0417: 18090, 0.0833: 5131, 0.4167: 4068, 0.1667: 3570, 0.125: 3373, 0.0: 2351, 0.5: 1835, 0.6667: 1261}"
81,LANDAREA_MEDI,float64,182590,124921,3560,"{0.0: 15919, 0.0193: 197, 0.0642: 194, 0.0482: 186, 0.0143: 180, 0.0161: 180, 0.0803: 179, 0.0241: 177, 0.0321: 176, 0.0178: 175}"
82,LIVINGAPARTMENTS_MEDI,float64,210199,97312,1097,"{0.0513: 4500, 0.0684: 4497, 0.077: 2926, 0.0599: 2708, 0.0855: 2014, 0.1231: 1921, 0.0068: 1715, 0.0616: 1691, 0.1026: 1517, 0.0137: 1487}"
83,LIVINGAREA_MEDI,float64,154350,153161,5281,"{0.0: 299, 0.0548: 239, 0.0518: 234, 0.052: 233, 0.0521: 232, 0.0522: 225, 0.0513: 217, 0.0519: 217, 0.0888: 212, 0.0717: 212}"
84,NONLIVINGAPARTMENTS_MEDI,float64,213514,93997,214,"{0.0: 56097, 0.0039: 14126, 0.0078: 6493, 0.0116: 3788, 0.0155: 2557, 0.0194: 1696, 0.0019: 1286, 0.0233: 1202, 0.0272: 864, 0.0311: 731}"
85,NONLIVINGAREA_MEDI,float64,169682,137829,3323,"{0.0: 60954, 0.0012: 539, 0.0022: 478, 0.0037: 456, 0.0044: 431, 0.0011: 421, 0.0043: 415, 0.0031: 407, 0.001: 401, 0.0029: 387}"
86,FONDKAPREMONT_MODE,object,210295,97216,4,"{'reg oper account': 73830, 'reg oper spec account': 12080, 'not specified': 5687, 'org spec account': 5619}"
87,HOUSETYPE_MODE,object,154297,153214,3,"{'block of flats': 150503, 'specific housing': 1499, 'terraced house': 1212}"
88,TOTALAREA_MODE,float64,148431,159080,5116,"{0.0: 582, 0.057: 247, 0.0547: 230, 0.055: 227, 0.0555: 227, 0.0548: 227, 0.0551: 225, 0.0573: 220, 0.0554: 220, 0.0566: 219}"
89,WALLSMATERIAL_MODE,object,156341,151170,7,"{'Panel': 66040, 'Stone, brick': 64815, 'Block': 9253, 'Wooden': 5362, 'Mixed': 2296, 'Monolithic': 1779, 'Others': 1625}"
90,EMERGENCYSTATE_MODE,object,145755,161756,2,"{'No': 159428, 'Yes': 2328}"
91,OBS_30_CNT_SOCIAL_CIRCLE,float64,1021,306490,33,"{0.0: 163910, 1.0: 48783, 2.0: 29808, 3.0: 20322, 4.0: 14143, 5.0: 9553, 6.0: 6453, 7.0: 4390, 8.0: 2967, 9.0: 2003}"
92,DEF_30_CNT_SOCIAL_CIRCLE,float64,1021,306490,10,"{0.0: 271324, 1.0: 28328, 2.0: 5323, 3.0: 1192, 4.0: 253, 5.0: 56, 6.0: 11, 7.0: 1, 34.0: 1, 8.0: 1}"
93,OBS_60_CNT_SOCIAL_CIRCLE,float64,1021,306490,33,"{0.0: 164666, 1.0: 48870, 2.0: 29766, 3.0: 20215, 4.0: 13946, 5.0: 9463, 6.0: 6349, 7.0: 4344, 8.0: 2886, 9.0: 1959}"
94,DEF_60_CNT_SOCIAL_CIRCLE,float64,1021,306490,9,"{0.0: 280721, 1.0: 21841, 2.0: 3170, 3.0: 598, 4.0: 135, 5.0: 20, 6.0: 3, 7.0: 1, 24.0: 1}"
95,DAYS_LAST_PHONE_CHANGE,float64,1,307510,3773,"{0.0: 37672, -1.0: 2812, -2.0: 2318, -3.0: 1763, -4.0: 1285, -5.0: 824, -6.0: 537, -7.0: 442, -8.0: 278, -476.0: 222}"
96,FLAG_DOCUMENT_2,int64,0,307511,2,"{0: 307498, 1: 13}"
97,FLAG_DOCUMENT_3,int64,0,307511,2,"{1: 218340, 0: 89171}"
98,FLAG_DOCUMENT_4,int64,0,307511,2,"{0: 307486, 1: 25}"
99,FLAG_DOCUMENT_5,int64,0,307511,2,"{0: 302863, 1: 4648}"
100,FLAG_DOCUMENT_6,int64,0,307511,2,"{0: 280433, 1: 27078}"
101,FLAG_DOCUMENT_7,int64,0,307511,2,"{0: 307452, 1: 59}"
102,FLAG_DOCUMENT_8,int64,0,307511,2,"{0: 282487, 1: 25024}"
103,FLAG_DOCUMENT_9,int64,0,307511,2,"{0: 306313, 1: 1198}"
104,FLAG_DOCUMENT_10,int64,0,307511,2,"{0: 307504, 1: 7}"
105,FLAG_DOCUMENT_11,int64,0,307511,2,"{0: 306308, 1: 1203}"
106,FLAG_DOCUMENT_12,int64,0,307511,2,"{0: 307509, 1: 2}"
107,FLAG_DOCUMENT_13,int64,0,307511,2,"{0: 306427, 1: 1084}"
108,FLAG_DOCUMENT_14,int64,0,307511,2,"{0: 306608, 1: 903}"
109,FLAG_DOCUMENT_15,int64,0,307511,2,"{0: 307139, 1: 372}"
110,FLAG_DOCUMENT_16,int64,0,307511,2,"{0: 304458, 1: 3053}"
111,FLAG_DOCUMENT_17,int64,0,307511,2,"{0: 307429, 1: 82}"
112,FLAG_DOCUMENT_18,int64,0,307511,2,"{0: 305011, 1: 2500}"
113,FLAG_DOCUMENT_19,int64,0,307511,2,"{0: 307328, 1: 183}"
114,FLAG_DOCUMENT_20,int64,0,307511,2,"{0: 307355, 1: 156}"
115,FLAG_DOCUMENT_21,int64,0,307511,2,"{0: 307408, 1: 103}"
116,AMT_REQ_CREDIT_BUREAU_HOUR,float64,41519,265992,5,"{0.0: 264366, 1.0: 1560, 2.0: 56, 3.0: 9, 4.0: 1}"
117,AMT_REQ_CREDIT_BUREAU_DAY,float64,41519,265992,9,"{0.0: 264503, 1.0: 1292, 2.0: 106, 3.0: 45, 4.0: 26, 5.0: 9, 6.0: 8, 9.0: 2, 8.0: 1}"
118,AMT_REQ_CREDIT_BUREAU_WEEK,float64,41519,265992,9,"{0.0: 257456, 1.0: 8208, 2.0: 199, 3.0: 58, 4.0: 34, 6.0: 20, 5.0: 10, 8.0: 5, 7.0: 2}"
119,AMT_REQ_CREDIT_BUREAU_MON,float64,41519,265992,24,"{0.0: 222233, 1.0: 33147, 2.0: 5386, 3.0: 1991, 4.0: 1076, 5.0: 602, 6.0: 343, 7.0: 298, 9.0: 206, 8.0: 185}"
120,AMT_REQ_CREDIT_BUREAU_QRT,float64,41519,265992,11,"{0.0: 215417, 1.0: 33862, 2.0: 14412, 3.0: 1717, 4.0: 476, 5.0: 64, 6.0: 28, 8.0: 7, 7.0: 7, 261.0: 1}"
121,AMT_REQ_CREDIT_BUREAU_YEAR,float64,41519,265992,25,"{0.0: 71801, 1.0: 63405, 2.0: 50192, 3.0: 33628, 4.0: 20714, 5.0: 12052, 6.0: 6967, 7.0: 3869, 8.0: 2127, 9.0: 1096}"
